molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL4277880,O=C(O)c1ccnc(-n2nccc2OCc2ccc(F)cc2F)c1,1000.0,active
CHEMBL4285149,O=C(O)c1ccnc(-n2nccc2OCc2ccc(Cl)c(Cl)c2)c1,100.0,active
CHEMBL3786952,Cc1cc(Cl)ccc1COc1ccnn1-c1cc(C(=O)O)ccn1,100.0,active
CHEMBL4228292,COc1cc(Cl)ccc1COc1ccnn1-c1cc(C(=O)O)ccn1,100.0,active
CHEMBL4286133,Cc1ccc(COc2ccnn2-c2cc(C(=O)O)ccn2)cc1Cl,100.0,active
CHEMBL4287180,Cc1ccc(COc2ccnn2-c2cc(C(=O)O)ccn2)cc1F,100.0,active
CHEMBL4282102,Cc1ccc(COc2ccnn2-c2cc(C(=O)O)ccn2)c(F)c1F,1000.0,active
CHEMBL4282651,COC(=O)c1ccnc(-n2nccc2OCc2ccc(C#N)cc2)c1,1000.0,active
CHEMBL4229271,N#Cc1ccc(COc2ccnn2-c2cc(C(=O)O)ccn2)cc1,100.0,active
CHEMBL4229264,CCOc1cc(Cl)ccc1COc1ccnn1-c1cc(C(=O)O)ccn1,100.0,active
CHEMBL4289695,O=C(O)c1ccnc(-n2nccc2OCc2ccc(Cl)cc2OCc2ccc(F)cc2)c1,1000.0,active
CHEMBL4290069,O=C(O)c1ccnc(-n2nccc2OCc2ccc(F)cc2OCc2ccc(F)cc2)c1,1000.0,active
CHEMBL4295216,O=C(O)c1ccnc(-n2nccc2OCc2ccc(F)cc2CCc2ccc(F)cc2)c1,1000.0,active
CHEMBL4285045,CC1(C)Cc2cccc(COc3ccnn3-c3cc(C(=O)O)ccn3)c2O1,10000.0,inactive
CHEMBL4284014,Cc1cc(C#N)ccc1COc1ccnn1-c1cc(C(=O)O)ccn1,1000.0,active
CHEMBL4287035,CCc1cc(C#N)ccc1COc1ccnn1-c1cc(C(=O)O)ccn1,10000.0,inactive
CHEMBL4285436,CCc1cc(Cl)ccc1COc1ccnn1-c1cc(C(=O)O)ccn1,1000.0,active
CHEMBL4279777,Cc1cc(F)ccc1COc1ccnn1-c1cc(C(=O)O)ccn1,100.0,active
CHEMBL4278739,CCc1cc(F)ccc1COc1ccnn1-c1cc(C(=O)O)ccn1,1000.0,active
CHEMBL4283926,Cc1ccc(COc2ccnn2-c2cc(C(=O)O)ccn2)c(Cl)c1,1000.0,active
CHEMBL4282868,Cc1ccc(COc2ccnn2-c2cc(C(=O)O)ccn2)c(F)c1,1000.0,active
CHEMBL4289921,Cc1ccc(COc2ccnn2-c2cc(C(=O)O)ccn2)c(C)c1,100.0,active
CHEMBL4288884,COc1cc(C)ccc1COc1ccnn1-c1cc(C(=O)O)ccn1,100.0,active
CHEMBL4278583,Cc1ccc(COc2ccnn2-c2cc(C(=O)O)ccn2)c(C#N)c1,1000.0,active
CHEMBL4293050,CC(Oc1cc(Cl)ccc1COc1ccnn1-c1cc(C(=O)O)ccn1)c1ccccc1,1000.0,active
CHEMBL4294087,CC(Oc1cc(F)ccc1COc1ccnn1-c1cc(C(=O)O)ccn1)c1ccccc1,1000.0,active
CHEMBL4289000,O=C(O)c1ccnc(-n2nccc2OCc2ccc(Cl)c(OCc3ccc(F)cc3)c2)c1,1000.0,active
CHEMBL4292686,O=C(O)c1ccnc(-n2nccc2OCc2ccc(F)c(OCc3ccc(F)cc3)c2)c1,100.0,active
CHEMBL4287561,O=C(O)c1ccnc(-n2nccc2OCc2ccc(Cl)c(OCC3CC3)c2)c1,1000.0,active
CHEMBL4288613,O=C(O)c1ccnc(-n2nccc2OCc2ccc(Cl)c(OCC(F)(F)F)c2)c1,1000.0,active
CHEMBL4281578,Cc1cc(Br)ccc1COc1ccnn1-c1cc(C(=O)O)ccn1,1000.0,active
CHEMBL4289769,Cc1cc(I)ccc1COc1ccnn1-c1cc(C(=O)O)ccn1,1000.0,active
CHEMBL4290799,COc1cc(I)ccc1COc1ccnn1-c1cc(C(=O)O)ccn1,1000.0,active
CHEMBL4292524,CCc1ccc(COc2ccnn2-c2cc(C(=O)O)ccn2)c(F)c1,1000.0,active
CHEMBL3787133,Cn1cnc(-c2cc(C(=O)O)ccn2)c1,10000.0,inactive
CHEMBL4292111,Cc1ccc(-c2c(-c3cc(C(=O)O)ccn3)ncn2C)cc1O,10000.0,inactive
CHEMBL4284869,Cn1cnc(-c2cc(C(=O)O)ccn2)c1-c1ccc(C2CC2)cc1,10000.0,inactive
CHEMBL3786803,COc1ccc(-c2c(-c3cc(C(=O)O)ccn3)ncn2C)cc1,1000.0,active
CHEMBL4286418,Cn1cnc(-c2cc(C(=O)O)ccn2)c1-c1ccc(-n2cccn2)cc1,1000.0,active
CHEMBL3787664,Cn1cnc(-c2cc(C(=O)O)ccn2)c1-c1ccc(OCC2CC2)cc1,1000.0,active
CHEMBL4278099,Cn1cnc(-c2cc(C(=O)O)ccn2)c1-c1ccc(N2CCCC2)cc1,1000.0,active
CHEMBL4279120,Cn1cnc(-c2cc(C(=O)O)ccn2)c1-c1ccc(Cl)cc1,1000.0,active
CHEMBL4280936,Cn1cnc(-c2cc(C(=O)O)ccn2)c1-c1cccc(Cl)c1,10000.0,inactive
CHEMBL4285037,Cn1cnc(-c2cc(C(=O)O)ccn2)c1-c1ccc2cc[nH]c2c1,10000.0,inactive
CHEMBL4284008,Cn1cnc(-c2cc(C(=O)O)ccn2)c1-c1ccc(F)cc1,1000.0,active
CHEMBL4285705,Cn1cnc(-c2cc(C(=O)O)ccn2)c1-c1ccc(Cl)c(F)c1,10000.0,inactive
CHEMBL4288587,CCCn1cnc(-c2cc(C(=O)O)ccn2)c1-c1ccc(Cl)c(F)c1,10000.0,inactive
CHEMBL4278927,CN(C)CCn1cnc(-c2cc(C(=O)O)ccn2)c1,1000.0,active
CHEMBL4283132,CCCn1cnc(-c2cc(C(=O)O)ccn2)c1,1000.0,active
CHEMBL4294777,O=C(O)c1ccnc(-c2cn(CCN3CCCC3)cn2)c1,10000.0,inactive
CHEMBL3786225,Cn1cnc(-c2cc(-c3nnn[nH]3)ccn2)c1,10000.0,inactive
CHEMBL4288875,O=C(O)c1ccnc(-c2cn(CCN(Cc3ccc(F)cc3)C3CC3)cn2)c1,1000.0,active
CHEMBL4280142,O=C(O)c1ccnc(-c2cn(CCNCC3CCC(F)(F)CC3)cn2)c1,1000.0,active
CHEMBL4289159,O=C(O)c1ccnc(-c2cn(CCN3CCCc4ccccc43)cn2)c1,1000.0,active
CHEMBL4277869,O=C(O)c1ccnc(-c2cn(CCc3ccc(F)cc3)cn2)c1,1000.0,active
CHEMBL4290321,O=C(O)c1ccnc(-c2cn(CCc3ccccc3F)cn2)c1,1000.0,active
CHEMBL4280613,COc1ccccc1CCn1cnc(-c2cc(C(=O)O)ccn2)c1,10000.0,inactive
CHEMBL4283431,Cc1ccccc1CCn1cnc(-c2cc(C(=O)O)ccn2)c1,1000.0,active
CHEMBL4282361,O=C(O)c1ccnc(-c2cn(CCc3ccccc3Cl)cn2)c1,1000.0,active
CHEMBL4279259,O=C(O)c1ccnc(-c2cn(CCc3ccccc3C(F)(F)F)cn2)c1,10000.0,inactive
CHEMBL4278227,O=C(O)c1ccnc(-c2cn(C3Cc4ccccc4C3)cn2)c1,1000.0,active
CHEMBL4290636,O=C(O)c1ccnc(-c2cn(Cc3ccccc3)cn2)c1,1000.0,active
CHEMBL4282667,O=C(O)c1ccnc(-c2cn(Cc3ccc(F)cc3)cn2)c1,1000.0,active
CHEMBL4281591,O=C(O)c1ccnc(-c2cn(Cc3ccccc3F)cn2)c1,1000.0,active
CHEMBL4285323,CC(c1ccccc1)n1cnc(-c2cc(C(=O)O)ccn2)c1,1000.0,active
CHEMBL4279029,O=C(O)c1ccnc(-c2cn(Cc3cccc(F)c3)cn2)c1,10000.0,inactive
CHEMBL4281219,CC(C)(Cn1cnc(-c2cc(C(=O)O)ccn2)c1)c1ccccc1Cl,1000.0,active
CHEMBL4289724,CC(Cc1ccccc1)n1cnc(-c2cc(C(=O)O)ccn2)c1,1000.0,active
